hour,price_eur_mwh,wind_onshore,wind_offshore,solar,ror,biomass,lignite,hardcoal,ccgt_new,ccgt_exist,ocgt,oil,net_import_mwh,load_shed_mwh,storage_soc_mwh
0,3.0,59584.64880952381,7239.670742272299,-0.0,1592.7749999999999,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,3.0,60023.884920634926,5257.211630442954,-0.0,1574.3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2,3.0,58440.35317460318,5145.949344699354,-0.0,1555.175,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
3,3.0,58862.8869047619,3265.1701469613286,9.29875,1548.15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
4,3.0,59674.869047619046,2761.1530310275916,18.49,1541.275,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
5,3.0,62998.688492063484,-0.0,21.6075,1554.575,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1345.5466216203479
6,3.0,64152.156746031746,-0.0,25.4237499999785,1560.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3259.4738150254143
7,3.0,63391.55952380953,223.69068505546807,1479.3074999999785,1558.8750000000002,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3259.4738150254143
8,3.0,61500.265873015866,-0.0,8285.83125,1589.3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4800.9490518890425
9,3.0,64254.24206349206,-0.0,16181.8675,1618.25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13378.776847019883
10,3.0,63847.58928571429,-0.0,22795.64375,1642.225,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,24288.339761384555
11,3.0,65132.668650793654,-0.0,24765.95749999998,1663.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,37637.91365910288
12,3.0,66867.20634920635,-0.0,21798.5275,1656.825,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,51671.908505931264
13,3.0,68600.42063492064,-0.0,14402.742499999998,1614.275,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,60918.61921285537
14,3.0,73346.68055555556,-0.0,5670.14125,1589.7749999999999,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,65654.54496397305
15,3.0,74480.75396825398,2259.8572702801694,393.88,1592.1749999999995,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,65654.54496397305
16,3.0,77790.10714285714,1986.9941328086795,39.18375,1600.325,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,65654.54496397305
17,3.0,78568.86706349206,1446.232242701642,30.099999999999998,1592.4250000000002,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,65654.54496397305
18,3.0,77037.54166666666,1266.0855670943167,25.10125,1604.575,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,65654.54496397305
19,3.0,75857.60515873016,-0.0,25.585,1579.275,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,66407.4426908007
20,3.0,73629.61706349206,-0.0,23.0587499999785,1566.35,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,67585.90157642688
21,3.0,70504.44642857143,-0.0,-0.0,1568.6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,68673.5557889971
22,3.0,70414.22619047618,-0.0,-0.0,1562.8249999999998,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,72870.40461638138
23,3.0,67081.69047619047,-0.0,-0.0,1553.9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,76573.42864661856
24,3.0,64403.1488095238,-0.0,-0.0,1550.85,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,80546.51981821556
25,3.0,60590.990079365074,-0.0,-0.0,1553.35,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,82242.9170203223
26,3.0,57849.15277777778,12562.836440930545,-0.0,1533.775,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,92239.49391017844
27,3.0,54902.87103174603,16009.565217391306,6.0737499999999995,1539.5249999999999,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,102005.80848123068
28,3.0,53008.017857142855,14821.95652173913,12.20125,1530.125,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,106400.0
29,75.42857142857143,50209.63888888889,18136.222826086956,12.7925,1530.9,2404.2315437349607,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,106400.0
30,90.85000000000001,44621.18650793651,19038.09782608696,16.931250000000002,1553.6249999999998,8000.0,-0.0,-0.0,5046.914153462494,-0.0,-0.0,-0.0,-0.0,-0.0,106400.0
31,104.21153846153845,39170.09523809524,18668.641304347828,391.78375,1601.275,8000.0,-0.0,-0.0,10000.0,5452.816045775617,-0.0,-0.0,-0.0,-0.0,106400.0
32,104.21153846153845,32806.44246031745,19393.369565217392,3290.9512499999996,1611.875,8000.0,-0.0,-0.0,10000.0,11403.248902359373,-0.0,-0.0,-0.0,-0.0,106400.0
33,104.21153846153845,26987.351190476184,16552.581521739132,8339.36624999998,1617.2999999999995,8000.0,-0.0,-0.0,10000.0,15939.69410533845,-0.0,-0.0,-0.0,-0.0,106400.0
34,104.21153846153845,22959.93253968254,16775.217391304344,12623.509999999978,1589.05,8000.0,-0.0,-0.0,10000.0,17003.895874644582,-0.0,-0.0,-0.0,-0.0,106400.0
35,104.21153846153845,20962.081349206343,17490.896739130432,13711.41,1595.3,8000.0,-0.0,-0.0,10000.0,18203.415702616843,-0.0,-0.0,-0.0,-0.0,106400.0
36,104.21153846153845,21088.763888888883,17744.510869565216,11982.7025,1612.2749999999999,8000.0,-0.0,-0.0,10000.0,18831.99254493568,-0.0,-0.0,-0.0,-0.0,106400.0
37,104.21153846153845,20135.450396825396,16616.08695652174,7299.411249999978,1656.575,8000.0,-0.0,-0.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,102556.57997908583
38,104.21153846153845,20588.05753968254,16812.798913043476,2217.77875,1701.75,8000.0,-0.0,-0.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,94552.1212237204
39,104.21153846153845,22814.76785714286,17248.532608695652,108.30624999999999,1748.95,8000.0,-0.0,-0.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,85557.70518785166
40,104.21153846153845,26091.62896825396,19660.271739130432,46.3325,1785.85,8000.0,-0.0,-0.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,79206.82540634311
41,104.21153846153845,28366.027777777777,18030.896739130436,52.29875,1789.5749999999998,8000.0,-0.0,-0.0,10000.0,3683.7768260594166,-0.0,-0.0,-0.0,-0.0,56400.0
42,104.21153846153845,31858.87896825397,18959.592391304348,35.528749999978494,1775.075,8000.0,-0.0,-0.0,10000.0,19756.167417007306,-0.0,-0.0,-0.0,-0.0,56400.0
43,104.21153846153845,33635.44642857142,19127.771739130436,16.82375,1610.775,8000.0,-0.0,-0.0,10000.0,13584.468109499663,-0.0,-0.0,-0.0,-0.0,56400.0
44,104.21153846153845,33439.49007936508,19168.614130434784,11.98625,1318.525,8000.0,-0.0,-0.0,10000.0,10298.002800539194,-0.0,-0.0,-0.0,-0.0,56400.0
45,104.21153846153845,32679.121031746028,21502.66304347826,-0.0,1510.95,8000.0,-0.0,-0.0,10000.0,5328.228589693106,-0.0,-0.0,-0.0,-0.0,56400.0
46,104.21153846153845,33414.390873015866,20516.739130434784,-0.0,1650.9749999999995,8000.0,-0.0,-0.0,10000.0,546.2890581229585,-0.0,-0.0,-0.0,-0.0,56400.0
